Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1232258246.59254,1264725163.33408,1584403459.98466,2602962095.36816,2539190939.6837,2831152765.15515,2332724780.71108,1810395803.56746,2940222419.73224,..
Bangladesh,BGD,Forest area (sq. km),AG.LND.FRST.K2,14420,14394.0002441406,14368.0004882813,14341.9995117188,14315.9997558594,14290,14264.0002441406,..,..,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249723862487.361,274024958965.892,..
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.57180227396866,6.46438388047517,6.52143507837333,6.01361036536019,6.06105935903958,6.55265279631962,7.1134894741232,7.28418409195113,7.86370889257542,..
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,800,890,970,1040,1110,1220,1370,1520,1750,..
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2670,2860,3090,3280,3460,3680,3910,4170,4570,..
Bangladesh,BGD,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,118314369980.501,133342228078.985,146862450772.408,158833009562.007,171249753198.435,191313737871.667,216290527551.009,242753902142.751,282036256832.374,..
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,393543966696.074,427013979840.347,465927032726.365,500667990240.959,534156898505.076,574312825138.138,617619591391.684,665863505837.144,737577741327.076,..
Bangladesh,BGD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.2466561760577,27.4209733686034,28.2623350089151,28.3896207543569,28.5778757115563,28.886689247008,29.6525653284139,30.5104546214646,31.2349240448468,..
Bangladesh,BGD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,0.213043476657069,0.194958419698882,0.462636614859582,0.299132579766414,..,0.307887774918671,..,..,..,..
Bangladesh,BGD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,93,88,91,94,97,97,97,97,..
Bangladesh,BGD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.7787299851405,27.4987748801959,27.9493338841896,26.7585286136071,25.5244202017989,24.7493225204896,21.3045813926876,20.2678924628174,23.4439348097981,..
Bangladesh,BGD,Income share held by lowest 20%,SI.DST.FRST.20,8.9,..,..,..,..,..,8.6,..,..,..
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,24.9564767264585,25.0452996007551,25.309959389543,26.307070164309,26.3110467833576,26.8313948329541,27.3461176033502,27.7508999829539,28.5369876541411,..
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.14464872957153,7.85944603491285,8.16459774560592,7.17494866801481,5.66878852759376,5.87276420529186,6.72784118978132,6.27868326675198,5.5974306017424,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,..
Bangladesh,BGD,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,40.7836365746264,47.1501647240183,44.4675240701128,44.135476324531,41.3707445940773,38.1517859855471,36.0074666602495,35.5140270203408,36.7674537313007,..
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.32083739648164,1.355517777279,1.32441949149986,1.25819752209315,1.27941246310601,1.35096990580134,1.37967232355361,1.37505781019649,1.36491749632018,..
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,46.0265553690069,56.5196796725766,64.3551699713877,76.2974562071688,82.1047375757376,84.0770862861214,86.0769063232833,94.5264734995475,100.244712514522,..
Bangladesh,BGD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,49.1,46.2,43.4,40.8,38.4,36.1,33.9,31.9,30.2,..
Bangladesh,BGD,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,61.2316455,56.54987671,61.24603867,60.89058455,60.71208158,67.89248122,68.95699785,65.23708961,62.19521317,..
